Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5,Beta_6,Beta_7,Mean_1,Mean_2,Mean_3,Mean_4,Mean_5,Mean_6,Mean_7,SD_1,SD_2,SD_3,SD_4,SD_5,SD_6,SD_7,azimilide,bepridil,disopyramide,dofetilide,ibutilide,quinidine,sotalol,vandetanib,astemizole,chlorpromazine,cisapride,clarithromycin,clozapine,domperidone,droperidol,ondansetron,pimozide,risperidone,terfenadine,diltiazem,loratadine,metoprolol,mexiletine,nifedipine,nitrendipine,ranolazine,tamoxifen,verapamil
dvdtmax-APD50-APD90-camax-carest-CaTD50-CaTD90,0.8125,0.625,0.8125,0.890909091,0.682539683,0.875,0.6,0.428571429,1,0.818181818,0.777777778,0.75,4.3999813,1.92856725,3.999988,0.440000616,0.734694219,1.50E-06,0.666666667,0.5,0.666666667,0.276632923,0.91943128,0.666666667,-22.95271758,-10.34479425,-13.45039691,-110.6033101,-59.70065908,164.9942608,140.6525409,-58.51130509,385.4273724,72.03390709,287.2062878,364.2659437,0.000222565,7.28E-05,327.3555683,768.6720229,2.416227739,64.31807536,92.85975461,3.76E-05,3.84E-06,22.17761135,46.44521373,1,1,0.984,0.9965,1,1,0.8335,1,0.9055,0.974,0.9605,0.9085,0.789,0,0.7915,0.9615,0.046,0.9375,0.934,1,0.1375,1,0.997974684,1,0.9975,0.9065,0.155,1
dvdtmax-vmax-vrest-APD50-APD90-camax-carest,0.8125,0.6875,0.75,0.836363636,0.80952381,0.927083333,0.6,0.571428571,1,0.909090909,0.777777778,0.666666667,6.599938401,2.5714215,2.999994,0.440000616,0.551020985,1.50E-06,0.666666667,0.615384615,0.666666667,0.246241196,0.91943128,0.75,-12.21015173,27.12574573,-24.61847212,8.032146923,111.7787227,129.6169632,-55.08806873,-15.53537406,-68.43548629,72.03390709,40.81753408,-88.03022061,287.2062878,364.2659437,0.000222565,7.28E-05,2.416227739,1.184759215,0.020798121,64.31807536,92.85975461,3.76E-05,3.84E-06,1,1,0.994,0.9955,1,1,0.9955,1,0.958,0.999,1,0.974,0.9925,0.654,0.7835,0.9995,0.131,0.7935,0.9965,1,0.995,0,1,1,1,0.9985,0.4195,1
dvdtmax-vmax-vrest-APD50-APD90-camax-CaTD90,0.8125,0.625,0.75,0.872727273,0.761904762,0.927083333,0.6,0.428571429,1,0.909090909,0.777777778,0.666666667,6.599938401,1.92856725,2.999994,0.440000616,0.734694219,1.50E-06,0.666666667,0.5,0.666666667,0.253532042,0.924170616,0.75,-5.30535756,33.08524521,-25.97867718,-0.737456971,105.3211001,71.00692531,-77.45876784,39.98084324,107.9717444,72.03390709,40.81753408,-88.03022061,287.2062878,364.2659437,0.000222565,768.6720229,2.416227739,1.184759215,0.020798121,64.31807536,92.85975461,3.76E-05,46.44521373,1,1,0.997,0.995,1,1,0.995,1,0.9625,0.999,0.9995,0.9735,0.993,0.166,0.773,0.9995,0.105,0.829,0.996,1,0.9935,0,1,1,1,0.999,0.3555,1
dvdtmax-vmax-vrest-APD50-APD90-carest-CaTD50,0.8125,0.6875,0.75,0.836363636,0.793650794,0.927083333,0.6,0.428571429,1,0.909090909,0.777777778,0.666666667,6.599938401,2.5714215,2.999994,0.440000616,0.642857545,1.50E-06,0.666666667,0.545454545,0.666666667,0.266368363,0.914691943,0.75,-10.72789642,28.72447668,-25.03951945,8.472620839,112.4388873,120.1644453,-55.53506886,-78.39069886,7.125475051,72.03390709,40.81753408,-88.03022061,287.2062878,364.2659437,7.28E-05,327.3555683,2.416227739,1.184759215,0.020798121,64.31807536,92.85975461,3.84E-06,22.17761135,1,1,0.9935,0.9955,1,1,0.9945,1,0.9565,0.999,1,0.9705,0.993,0.472,0.78,0.9995,0.1325,0.8095,0.9965,1,0.9945,0,1,1,1,0.998,0.3845,1
dvdtmax-vmax-vrest-APD50-APD90-carest-CaTD90,0.8125,0.6875,0.75,0.854545455,0.793650794,0.927083333,0.6,0.428571429,1,0.909090909,0.777777778,0.666666667,6.599938401,2.5714215,2.999994,0.440000616,0.642857545,1.50E-06,0.666666667,0.545454545,0.666666667,0.261665713,0.91943128,0.75,-12.06124659,27.17194578,-24.7007397,6.217084269,111.4489048,116.7575599,-59.29290662,-59.78637922,24.00861588,72.03390709,40.81753408,-88.03022061,287.2062878,364.2659437,7.28E-05,768.6720229,2.416227739,1.184759215,0.020798121,64.31807536,92.85975461,3.84E-06,46.44521373,1,1,0.996,0.995,1,1,0.9945,1,0.958,0.999,1,0.978,0.9935,0.391,0.783,0.9995,0.1205,0.805,0.9965,1,0.995,0,1,1,1,0.9985,0.3975,1
dvdtmax-vmax-vrest-APD50-camax-carest-CaTD50,0.75,0.6859375,0.875,0.836363636,0.777777778,0.9375,0.6,0.428571429,0.75,0.818181818,0.777777778,0.833333333,3.29998735,2.142853714,5.99997,0.488889514,0.642857548,0.272728066,0.6,0.545454545,0.75,0.217816702,0.928909953,0.666666667,-25.57291301,10.74854153,-33.10482775,30.4788097,94.26457547,136.1671146,-86.78275242,-45.14137458,-45.75711932,72.03390709,40.81753408,-88.03022061,287.2062878,0.000222565,7.28E-05,327.3555683,2.416227739,1.184759215,0.020798121,64.31807536,3.76E-05,3.84E-06,22.17761135,1,1,0.955,0.9935,0.9955,1,0.9965,1,0.9605,0.9975,0.9995,0.9165,0.9435,0.4435,0.788,0.9985,0.221,0.693,0.998,1,1,0.011,1,1,1,0.996,0.708,0.9995
dvdtmax-vmax-vrest-APD50-camax-CaTD50-CaTD90,0.75,0.625,0.875,0.854545455,0.761904762,0.9375,0.6,0.428571429,0.75,0.818181818,0.666666667,0.833333333,3.29998735,1.92856725,5.99997,0.488889514,0.642857679,0.272728066,0.6,0.545454545,0.75,0.216385871,0.933649289,0.666666667,-43.11324189,-7.766444872,-34.8395115,32.37914632,89.07539363,124.675685,-77.67977021,-96.37452153,117.0898736,72.03390709,40.81753408,-88.03022061,287.2062878,0.000222565,327.3555683,768.6720229,2.416227739,1.184759215,0.020798121,64.31807536,3.76E-05,22.17761135,46.44521373,0.9995,1,0.9325,0.994,1,1,0.996,1,0.9625,0.9975,0.9985,0.927,0.9385,0.383,0.787,0.999,0.2445,0.7605,0.9995,1,0.9945,0.086,1,1,1,0.9965,0.6105,0.9995
dvdtmax-vmax-vrest-APD50-carest-CaTD50-CaTD90,0.8125,0.6875,0.8125,0.872727273,0.777777778,0.9375,0.6,0.571428571,1,0.909090909,0.777777778,0.75,6.599938401,2.5714215,3.999988,0.440000616,0.551020985,1.33E-06,0.666666667,0.615384615,0.727272727,0.192489507,0.933649289,0.75,-38.27955949,-5.12055638,-35.30456145,30.29116367,83.61252572,57.37195873,-11.36415985,-72.22699775,160.2107872,72.03390709,40.81753408,-88.03022061,287.2062878,7.28E-05,327.3555683,768.6720229,2.416227739,1.184759215,0.020798121,64.31807536,3.84E-06,22.17761135,46.44521373,1,1,0.985,0.9935,1,1,0.996,1,0.965,0.998,0.9995,0.943,0.9405,0.852,0.7855,0.999,0.1995,0.8135,0.9995,1,0.9865,0.0615,1,1,1,0.996,0.502,0.9995
dvdtmax-vmax-vrest-APD90-camax-carest-CaTD50,0.8125,0.625,0.8125,0.872727273,0.746031746,0.90625,0.6,0.428571429,1,0.818181818,0.777777778,0.75,4.3999813,1.92856725,3.999988,0.440000616,0.734694219,1.33E-06,0.666666667,0.5,0.727272727,0.252336034,0.91943128,0.708333333,3.257037127,36.72180053,-32.52596464,25.57184668,86.48686664,-0.659577692,61.85764423,-85.74818452,47.70350568,72.03390709,40.81753408,-88.03022061,364.2659437,0.000222565,7.28E-05,327.3555683,2.416227739,1.184759215,0.020798121,92.85975461,3.76E-05,3.84E-06,22.17761135,1,1,0.9995,0.991,1,1,0.995,1,0.9625,0.9975,0.9995,0.938,0.929,0.0045,0.7765,0.9985,0.134,0.7055,0.996,1,0.9945,0.0155,0.999493671,1,1,0.995,0.649,0.9995
dvdtmax-vmax-vrest-APD90-carest-CaTD50-CaTD90,0.8125,0.75,0.875,0.927272727,0.857142857,0.9375,0.6,0.428571429,1,0.818181818,0.777777778,0.833333333,4.3999813,3.857117143,5.99997,0.4000006,0.571429,1.33E-06,0.727272727,0.6,0.75,0.135112189,0.966824645,0.791666667,-25.39461073,4.830875943,-40.08014047,31.44449252,68.29167976,15.13616807,55.24950516,-62.8787738,189.7358927,72.03390709,40.81753408,-88.03022061,364.2659437,7.28E-05,327.3555683,768.6720229,2.416227739,1.184759215,0.020798121,92.85975461,3.84E-06,22.17761135,46.44521373,1,1,0.996,0.988,1,1,0.9955,1,0.974,0.9985,0.998,0.9335,0.861,0.8665,0.7985,0.995,0.1835,0.735,0.9975,1,0.9935,0.9015,0.999493671,1,1,0.9945,0.6545,1
dvdtmax-vmax-vrest-APD90-max_dv-carest-CaTD50,0.875,0.625,0.6875,0.963636364,0.761904762,0.833333333,0.8,0.285714286,1,0.909090909,0.888888889,0.583333333,8.799914201,2.571414429,2.39999664,0.220000858,0.80357165,1.71E-06,0.8,0.4,0.615384615,0.312713118,0.933649289,0.708333333,-27.22266356,34.48192092,-53.55019423,95.24983967,78.80956347,-16.01250521,33.81597226,43.22658066,105.0534178,72.03390709,40.81753408,-88.03022061,364.2659437,-0.292902106,7.28E-05,327.3555683,2.416227739,1.184759215,0.020798121,92.85975461,0.063732419,3.84E-06,22.17761135,1,1,1,1,1,0.994,1,1,0.1005,0.9985,0.0225,0.822,0.9215,0,0.0065,0.056,5.00E-04,0.973,0.002,1,0.9855,1,1,1,1,0.274,0.268,0.9735
dvdtmax-vmax-vrest-max_dv-camax-carest-CaTD50,0.8125,0.625,0.75,0.872727273,0.746031746,0.895833333,0.6,0.428571429,1,0.909090909,0.777777778,0.666666667,6.599938401,1.92856725,2.999994,0.488889514,0.734694219,1.50E-06,0.6,0.5,0.666666667,0.270331936,0.90521327,0.708333333,5.866416722,39.75163752,-28.9168122,14.1007616,91.69475618,-11.46514017,75.76640339,-83.85913751,59.79772038,72.03390709,40.81753408,-88.03022061,-0.292902106,0.000222565,7.28E-05,327.3555683,2.416227739,1.184759215,0.020798121,0.063732419,3.76E-05,3.84E-06,22.17761135,1,1,0.9995,0.9935,0.9975,0.999,0.9945,1,0.968,0.9985,0.9995,0.961,0.978,5.00E-04,0.798,0.999,0.1035,0.796,0.9955,1,0.9585,0,0.998987342,1,1,0.9955,0.4455,0.9995
dvdtmax-vmax-vrest-max_dv-carest-CaTD50-CaTD90,0.8125,0.6875,0.8125,0.945454545,0.793650794,0.916666667,0.6,0.428571429,1,0.909090909,0.777777778,0.75,6.599938401,2.5714215,3.999988,0.440000616,0.642857545,1.33E-06,0.666666667,0.545454545,0.727272727,0.214752972,0.957345972,0.791666667,12.79735181,72.39619065,-59.4613107,18.75467112,163.4662105,-4.586861959,45.78387802,50.68955852,77.76664995,72.03390709,40.81753408,-88.03022061,-0.292902106,7.28E-05,327.3555683,768.6720229,2.416227739,1.184759215,0.020798121,0.063732419,3.84E-06,22.17761135,46.44521373,1,1,1,0.9925,1,1,1,1,0.9565,0.999,0.9945,0.993,0.979,0.2,0.66,0.8865,0.07,0.772,0.9515,1,1,0.4385,0.999493671,1,1,0.987,0.5665,1
dvdtmax-vrest-APD50-APD90-camax-carest-CaTD50,0.8125,0.6875,0.875,0.890909091,0.793650794,0.9375,0.6,0.571428571,0.75,0.909090909,0.777777778,0.833333333,6.599938401,2.5714215,5.99997,0.440000616,0.551020985,0.272728066,0.666666667,0.615384615,0.75,0.186872452,0.943127962,0.708333333,-15.56831683,24.09222885,2.442255814,116.6097769,197.4129413,-68.70199979,-75.84159555,-46.64136496,-38.11857075,72.03390709,-88.03022061,287.2062878,364.2659437,0.000222565,7.28E-05,327.3555683,2.416227739,0.020798121,64.31807536,92.85975461,3.76E-05,3.84E-06,22.17761135,1,1,0.966,0.9955,0.9905,1,0.9955,1,0.955,0.9985,0.9995,0.9675,0.988,0.9835,0.7785,0.9995,0.162,0.753,0.9975,1,0.997,0.0155,1,1,1,0.9985,0.5295,1
dvdtmax-vrest-APD50-APD90-camax-carest-CaTD90,0.8125,0.6875,0.75,0.872727273,0.777777778,0.927083333,0.6,0.428571429,1,0.909090909,0.777777778,0.666666667,6.599938401,2.571414429,2.999994,0.440000616,0.642857545,1.50E-06,0.666666667,0.545454545,0.666666667,0.270295586,0.91943128,0.75,-10.6254048,27.99033355,-18.02854305,111.5217871,97.71072211,-70.69759834,30.27588846,-47.79601331,66.09533579,72.03390709,-88.03022061,287.2062878,364.2659437,0.000222565,7.28E-05,768.6720229,2.416227739,0.020798121,64.31807536,92.85975461,3.76E-05,3.84E-06,46.44521373,1,1,0.9975,0.995,1,1,0.995,1,0.962,0.999,1,0.9855,0.995,0.0455,0.782,0.9995,0.106,0.823,0.996,1,0.995,0,1,1,1,0.999,0.3505,1
dvdtmax-vrest-APD50-APD90-camax-CaTD50-CaTD90,0.8125,0.6875,0.8125,0.890909091,0.777777778,0.9375,0.6,0.571428571,1,0.909090909,0.777777778,0.75,6.599938401,2.5714215,3.999988,0.440000616,0.551020985,1.33E-06,0.666666667,0.615384615,0.727272727,0.200861719,0.947867299,0.75,-34.69277989,3.75805303,-3.533335469,111.1923955,146.968954,-71.41811667,-18.55487114,-82.35503223,165.2712462,72.03390709,-88.03022061,287.2062878,364.2659437,0.000222565,327.3555683,768.6720229,2.416227739,0.020798121,64.31807536,92.85975461,3.76E-05,22.17761135,46.44521373,1,1,0.987,0.9955,1,1,0.9955,1,0.9615,0.999,0.9985,0.9785,0.9935,0.7925,0.779,0.9995,0.148,0.8425,0.999,1,0.9885,0.0225,1,1,1,0.9985,0.3635,1
dvdtmax-vrest-APD50-APD90-carest-CaTD50-CaTD90,0.8125,0.6875,0.8125,0.890909091,0.761904762,0.9375,0.6,0.571428571,1,0.909090909,0.777777778,0.75,6.599938401,2.142853714,3.999988,0.440000616,0.642857545,1.33E-06,0.666666667,0.571428571,0.727272727,0.225308021,0.943127962,0.75,-36.06496456,2.735688757,-7.181329789,111.4663566,131.6375789,-73.93723408,6.153457329,-82.61233594,192.4963997,72.03390709,-88.03022061,287.2062878,364.2659437,7.28E-05,327.3555683,768.6720229,2.416227739,0.020798121,64.31807536,92.85975461,3.84E-06,22.17761135,46.44521373,1,1,0.9905,0.9955,1,1,0.995,1,0.961,0.999,0.9985,0.9815,0.994,0.469,0.7765,0.9995,0.1395,0.857,0.999,1,0.979,0.005,1,1,1,0.9985,0.319,1
dvdtmax-vrest-APD50-APD90-max_dv-camax-CaTD50,0.75,0.625,0.875,0.809090909,0.658730159,0.9375,0.6,0.571428571,0.75,0.818181818,0.666666667,0.833333333,3.29998735,1.714283571,5.99997,0.488889514,0.734694219,0.272728066,0.6,0.533333333,0.75,0.27088605,0.91943128,0.666666667,-30.33277337,3.919116709,47.91579287,101.8880108,206.0804216,195.4599446,-126.5875907,-189.8640011,-105.537342,72.03390709,-88.03022061,287.2062878,364.2659437,-0.292902106,0.000222565,327.3555683,2.416227739,0.020798121,64.31807536,92.85975461,0.063732419,3.76E-05,22.17761135,1,1,0.901,0.9975,0.991,1,0.996,1,0.9535,0.999,1,0.733,1,0.0145,0.931,0.9985,0.243,1,0.999,1,0,0.986,1,1,0.999,0.9985,0,1
dvdtmax-vrest-APD50-APD90-max_dv-camax-CaTD90,0.875,0.625,0.75,0.927272727,0.73015873,0.895833333,0.6,0.428571429,1,1,0.777777778,0.666666667,599999.6122,1.92856725,2.999994,0.4000006,0.734694219,1.50E-06,0.75,0.5,0.666666667,0.277701412,0.943127962,0.791666667,-26.63324795,79.90645962,46.74088783,222.1380008,171.5206018,29.30778564,-159.4398913,102.7848503,279.9310892,72.03390709,-88.03022061,287.2062878,364.2659437,-0.292902106,0.000222565,768.6720229,2.416227739,0.020798121,64.31807536,92.85975461,0.063732419,3.76E-05,46.44521373,1,1,0.999,0.996,1,1,0.993,1,0.8505,1,0.987,1,1,5.00E-04,0.7465,1,0.0555,1,0.8915,1,0,0.9865,1,1,0.9965,0.989,0,1
dvdtmax-vrest-APD50-APD90-max_dv-CaTD50-CaTD90,0.8125,0.6875,0.8125,0.854545455,0.698412698,0.895833333,0.6,0.571428571,1,0.909090909,0.666666667,0.75,6.599938401,2.142853714,3.999988,0.440000616,0.551020985,1.33E-06,0.666666667,0.615384615,0.727272727,0.264625692,0.914691943,0.708333333,-43.87998598,-12.46780121,32.87971961,95.33803686,40.8871056,219.3053684,-136.8983035,-96.53102463,210.1135883,72.03390709,-88.03022061,287.2062878,364.2659437,-0.292902106,327.3555683,768.6720229,2.416227739,0.020798121,64.31807536,92.85975461,0.063732419,22.17761135,46.44521373,1,1,0.9935,0.9975,1,1,0.9945,1,0.964,0.9995,0.999,0.777,1,0.0465,0.9305,0.999,0.1545,1,0.999,1,0,0.982,1,1,0.995,0.999,0,1
dvdtmax-vrest-APD50-camax-carest-CaTD50-CaTD90,0.8125,0.75,0.875,0.945454545,0.873015873,0.947916667,0.8,0.571428571,1,0.818181818,0.888888889,0.833333333,5.49997525,4.49998425,5.99997,0.244445368,0.48214344,1.20E-06,0.727272727,0.666666667,0.8,0.122583196,0.966824645,0.833333333,-28.4977972,2.592912468,1.890710611,93.98615335,87.56621086,-50.50788869,16.34119048,-75.26161803,123.3162859,72.03390709,-88.03022061,287.2062878,0.000222565,7.28E-05,327.3555683,768.6720229,2.416227739,0.020798121,64.31807536,3.76E-05,3.84E-06,22.17761135,46.44521373,1,1,0.9985,0.986,1,1,0.998,1,0.993,0.9965,1,0.9805,0.933,0.981,0.8845,0.991,0.177,0.492,1,1,1,0.7485,1,1,1,0.989,0.9075,0.999
dvdtmax-vrest-APD90-max_dv-carest-CaTD50-CaTD90,0.8125,0.6859375,0.8125,0.818181818,0.746031746,0.895833333,0.6,0.571428571,1,0.909090909,0.777777778,0.75,6.599938401,2.137496553,3.999988,0.440000616,0.553316903,1.33E-06,0.666666667,0.614285714,0.727272727,0.267645199,0.890995261,0.666666667,-27.15396822,0.636439211,30.80706851,84.16115731,267.1825899,-153.7545531,-7.166853687,-53.69427034,136.6517469,72.03390709,-88.03022061,364.2659437,-0.292902106,7.28E-05,327.3555683,768.6720229,2.416227739,0.020798121,92.85975461,0.063732419,3.84E-06,22.17761135,46.44521373,1,1,0.997,0.9975,1,1,0.994,1,0.974,1,0.999,0.6795,1,0.0595,0.9545,0.9985,0.1455,1,0.999,1,0,0.9925,1,1,0.9935,0.999,0,1
qNet-APD50-APD90-camax-carest-CaTD50-CaTD90,0.8125,0.6875,0.8125,0.854545455,0.80952381,0.9375,0.6,0.571428571,0.75,0.909090909,0.777777778,0.75,6.599938401,2.5714215,3.999988,0.440000616,0.48214344,0.272728066,0.666666667,0.666666667,0.727272727,0.206997312,0.928909953,0.666666667,-29.49368181,8.489506264,-72.67280945,-111.2900604,99.44770862,-11.14179222,43.04424375,-51.85482787,93.78833254,63.95253604,287.2062878,364.2659437,0.000222565,7.28E-05,327.3555683,768.6720229,15.85634121,64.31807536,92.85975461,3.76E-05,3.84E-06,22.17761135,46.44521373,1,1,0.963,0.996,1,1,0.995,1,0.9545,0.9985,0.999,0.9865,0.999,0.9985,0.837,0.999,0.154,0.8455,0.998,1,0.9935,0,1,1,1,0.999,0.2805,1
qNet-APD50-max_dv-camax-carest-CaTD50-CaTD90,0.8125,0.6875,0.8125,0.872727273,0.793650794,0.9375,0.6,0.571428571,0.75,0.909090909,0.666666667,0.833333333,6.599938401,2.5714215,4.499979,0.440000616,0.551020985,0.30000084,0.666666667,0.615384615,0.666666667,0.190450148,0.933649289,0.666666667,-33.65329313,8.757574386,-76.81423952,-100.258036,44.64472074,11.65946973,77.71671167,-78.66623269,179.860421,63.95253604,287.2062878,-0.292902106,0.000222565,7.28E-05,327.3555683,768.6720229,15.85634121,64.31807536,0.063732419,3.76E-05,3.84E-06,22.17761135,46.44521373,0.9995,1,0.862,0.996,1,1,0.993,1,0.948,0.9985,0.9965,0.988,0.9695,1,0.748,0.9995,0.1715,0.6045,0.9975,1,1,0,1,1,1,0.9985,0.781,1
qNet-dvdtmax-APD50-APD90-camax-carest-CaTD90,0.8125,0.6875,0.8125,0.854545455,0.793650794,0.9375,0.6,0.571428571,1,0.909090909,0.777777778,0.75,6.599938401,2.5714215,3.999988,0.440000616,0.551020985,1.50E-06,0.666666667,0.615384615,0.727272727,0.229809648,0.928909953,0.75,-11.83550843,26.75262507,-74.32404444,2.887013762,-151.1042613,104.1607045,31.35403936,4.266351315,36.72336771,63.95253604,72.03390709,287.2062878,364.2659437,0.000222565,7.28E-05,768.6720229,15.85634121,2.416227739,64.31807536,92.85975461,3.76E-05,3.84E-06,46.44521373,1,1,0.9885,0.996,1,1,0.9955,1,0.9475,0.999,1,0.982,0.9985,0.66,0.8235,0.999,0.139,0.85,0.9975,1,0.979,0,1,1,1,0.999,0.2575,1
qNet-dvdtmax-APD50-APD90-camax-CaTD50-CaTD90,0.8125,0.6875,0.8125,0.854545455,0.793650794,0.9375,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,6.599938401,2.5714215,3.999988,0.440000616,0.551020985,0.272728066,0.666666667,0.615384615,0.727272727,0.202377847,0.928909953,0.666666667,-15.40060868,23.19121218,-75.2106745,10.30132374,-130.9990963,104.8335602,16.10283551,-14.49521952,35.1823242,63.95253604,72.03390709,287.2062878,364.2659437,0.000222565,327.3555683,768.6720229,15.85634121,2.416227739,64.31807536,92.85975461,3.76E-05,22.17761135,46.44521373,1,1,0.954,0.996,1,1,0.995,1,0.943,0.9985,0.999,0.9685,0.997,0.9755,0.8225,0.999,0.167,0.842,0.998,1,0.9815,0,1,1,1,0.999,0.28,0.9995
